question	answer	source	meta
[What will partners use OMG Network for?]	See: [What will partners use OMG Network for?](https://kb.omgcommunity.org/kb#how-much-commitment-do-you-have-from-the-largest-partners-aka-conglomerates-did-they-promise-testing-or-did-they-promise-testing-and-implementing)	GitBookAMA	
[When will OmiseGO hatch the 5 chickens?]	See: [When will OmiseGO hatch the 5 chickens?](https://kb.omgcommunity.org/kb#in-the-strategy-blog-post-you-mentioned-5-chickens-payments-commodity-trading-stock-trading-derivative-trading-and-crypto-trading-after-doing-crypto-trading-and-acquiring-crypto-exchanges-will-omise-hatch-the-other-4-chickens-and-bring-larger-volume-to-the-omg-network)	GitBookAMA	
[When will OmiseGO increase marketing in Europe and the US?]	See: [When will OmiseGO increase marketing in Europe and the US?](https://kb.omgcommunity.org/kb#your-team-have-been-working-hard-to-increase-awareness-of-omisego-in-asia-when-do-you-think-you-will-ramp-up-marketing-efforts-in-europe-and-the-us)	GitBookAMA	
[What are estimated OMG staking revenues?]	See: [What are estimated OMG staking revenues?](https://kb.omgcommunity.org/kb#can-you-please-provide-a-range-for-staking-revenue-that-we-can-expect-when-staking-on-plasma-in-q4-and-beyond-can-you-provide-us-with-a-mathematical-formula-to-estimate-staking-rewards-based-on-an-assumed-variable-for-total-volume-so-we-can-speculate-more-accurately-in-the-meantime-thank-you-kindly)	GitBookAMA	
[Will transactors be able to select a staking pool for transactions?]	See: [Will transactors be able to select a staking pool for transactions?](https://kb.omgcommunity.org/kb#staking-fees-will-be-set-by-the-stakers-pools-themselves-not-by-omise-pretty-sure-this-has-been-said-in-many-places-but-maybe-im-full-of-nonsense-so-if-you-want-a-range-its-going-to-be-0-less-than-omg-less-than-visa-_-_a-better-question-might-be-will-transactors-be-able-to-select-a-staker-pool-for-their-transactions-causing-internal-competition-or-will-transactions-be-randomly-assigned-to-a-staker-pool-ensuring-the-only-competition-is-external)	GitBookAMA	
[How will OMG be burned during PoA?]	See: [How will OMG be burned during PoA?](https://kb.omgcommunity.org/kb#will-the-tokens-burned-during-the-poa-stage-be-an-accurate-indicator-of-the-amount-of-fees-we-can-expect-during-pos-would-you-consider-publicizing-this-information-during-the-poa-stage-fees-received-number-of-transactions-processed-usdusd-volume-processed-tokens-purchased-and-burned-at-regular-intervals-to-help-the-community-calculate-and-project-growth-over-time)	GitBookAMA	
[How safe will OMG staking be?]	See: [How safe will OMG staking be?](https://kb.omgcommunity.org/kb#how-safe-will-staking-be-will-the-average-joe-be-able-to-stake-without-having-to-worry-about-his-hers-omgs-will-there-be-certain-precautions-that-will-need-to-be-taken-in-order-to-prevent-being-hacked)	GitBookAMA	
[How many partners will use OMG Network?]	See: [How many partners will use OMG Network?](https://kb.omgcommunity.org/kb#there-have-been-a-few-members-advisors-from-the-team-that-have-stated-omg-is-working-together-with-banks-financial-institutions-and-large-partners-even-though-partners-isnt-the-right-word-like-thomas-states-now-i-understand-you-are-under-ndas-and-its-hard-to-talk-about-it-can-you-maybe-give-us-a-numbers-of-partners-that-have-confirmed-using-the-product)	GitBookAMA	
[What should I know about OMG?]	See: [What should I know about OMG?](https://kb.omgcommunity.org/kb#what-do-you-wish-more-people-understood-about-the-project)	GitBookAMA	
[Will initial transactions only come from exchanges?]	See: [Will initial transactions only come from exchanges?](https://kb.omgcommunity.org/kb#will-sources-of-transactions-for-staking-in-2018-only-come-from-the-to-be-acquired-exchanges-or-are-there-going-to-be-other-sources-of-volume-and-liquidity-in-2018-such-as-omises-clients-transactions-outside-companies-who-utilize-the-network-etc-if-specifics-cannot-be-provided-than-a-simple-yes-no-would-be-appreciated)	GitBookAMA	
[What is marketing plan for OMG and Cosmos ZOMG?]	See: [What is marketing plan for OMG and Cosmos ZOMG?](https://kb.omgcommunity.org/kb#what-will-the-marketing-strategy-look-like-for-both-omg-and-the-cosmos-token-once-they-are-live)	GitBookAMA	
[What is transaction volume target?]	See: [What is transaction volume target?](https://kb.omgcommunity.org/kb#what-transaction-volume-in-usd-or-whichever-currency-is-omisego-targeting-for-years-1-2-and-3)	GitBookAMA	
[What is working relationship with Krunsgri and MUFG?]	See: [What is working relationship with Krunsgri and MUFG?](https://kb.omgcommunity.org/kb#how-is-the-relationship-progressing-between-you-and-krungrsi-since-you-received-funding-from-them-are-there-any-updates-to-the-strategic-direction-that-the-money-raised-will-be-used-for-can-you-also-comment-on-the-general-working-relationship-with-mufg-at-this-point-in-time)	GitBookAMA	
[What will team do with unlocked tokens?]	See: [What will team do with unlocked tokens?](https://kb.omgcommunity.org/kb#i-think-the-lock-in-period-for-the-teams-tokens-is-nearing-its-end-period-of-one-year-what-do-you-plan-to-do-after-that)	GitBookAMA	
[Will all Omise merchants use OMG network?]	See: [Will all Omise merchants use OMG network?](https://kb.omgcommunity.org/kb#people-seem-to-assume-that-all-your-actual-clients-merchants-will-eventually-migrate-to-the-new-omisego-network-what-if-a-merchant-does-not-want-to-migrate-for-any-reason)	GitBookAMA	
[Are Omise merchants introduced to OMG Network?]	See: [Are Omise merchants introduced to OMG Network?](https://kb.omgcommunity.org/kb#have-you-started-giving-your-actual-merchants-information-about-omisego-network-its-a-complex-topic-and-im-afraid-most-wont-understand-the-implication-of-this-migration)	GitBookAMA	
[What is privacy of OMG Network?]	See: [What is privacy of OMG Network?](https://kb.omgcommunity.org/kb#are-you-worried-that-many-merchants-wont-like-the-public-aspect-of-the-omisego-network-and-prefer-the-old-solution-for-more-privacy)	GitBookAMA	
[What is security of OMG Network?]	See: [What is security of OMG Network?](https://kb.omgcommunity.org/kb#my-biggest-concern-about-the-public-aspect-is-about-security-it-will-be-pretty-easy-to-target-the-richest-merchants-wallets-and-match-these-wallets-with-a-physical-location-exposing-the-merchants-to-all-kind-of-threats-not-to-mention-that-a-shop-will-be-able-to-see-the-clients-balance-as-soon-as-they-buy-something-someone-could-just-stand-outside-watch-the-shops-wallet-address-and-wait-for-rich-clients-to-come-out-and-steal-them-we-already-see-these-stories-more-and-more-its-enticing-since-there-is-almost-no-way-to-recover-the-funds-and-very-few-legal-recourses-security-is-a-very-complex-matter-with-cryptos-and-im-afraid-people-will-be-left-alone-and-all-kind-of-bad-things-will-happen-hurting-the-adoption-of-the-project-do-you-have-a-plan-to-address-that)	GitBookAMA	
[What is OmiseGO relationship with Mizuho?]	See: [What is OmiseGO relationship with Mizuho?](https://kb.omgcommunity.org/kb#you-mentioned-on-twitter-you-want-to-help-your-country-by-working-with-mizuho-bank-on-their-cryptocurrency-project-is-that-to-mean-omisego-has-no-relationship-with-mizuho-on-this-project-now)	GitBookAMA	
[How will OMG Network compete?]	See: [How will OMG Network compete?](https://kb.omgcommunity.org/kb#i-think-it-will-be-sometime-in-2019-that-a-full-omg-network-with-very-high-scalability-cross-chain-dex-etc-will-be-ready-i-understand-we-will-have-intermediate-releases-others-are-also-working-on-scalability-solutions-and-features-are-you-confident-that-we-will-have-competitive-advantage-when-we-release-will-the-big-conglomerates-be-willing-to-partner-with-us)	GitBookAMA	
[The background: I read recently that you were focusing first on crypto to crypto transactions, whether that was with the DEX or not. I understand how crypto is fundamental for this project, via the technology, and the first users - us. But the project’s goal always seemed to focus on real world wider application, not just the crypto world. It was always this wider world application that excited me about OmiseGo.]	See: [The background: I read recently that you were focusing first on crypto to crypto transactions, whether that was with the DEX or not. I understand how crypto is fundamental for this project, via the technology, and the first users - us. But the project’s goal always seemed to focus on real world wider application, not just the crypto world. It was always this wider world application that excited me about OmiseGo.](https://kb.omgcommunity.org/kb#the-question-so-how-do-you-plan-on-going-from-a-specific-focus-of-the-crypto-world-to-a-great-and-useful-product-for-the-wider-not-crypto-fiat-world-that-you-always-mention-in-your-slogan-unbanked-the-banked)	GitBookAMA	
[How will OMG enable real world transactions?]	See: [How will OMG enable real world transactions?](https://kb.omgcommunity.org/kb#the-question-so-how-do-you-plan-on-going-from-a-specific-focus-of-the-crypto-world-to-a-great-and-useful-product-for-the-wider-not-crypto-fiat-world-that-you-always-mention-in-your-slogan-unbanked-the-banked)	GitBookAMA	
[When is Soon™?]	See: [When is Soon™?](https://kb.omgcommunity.org/kb#how-soon-is-soon-tm)	GitBookAMA	
[How many transactions is Omise processing daily?]	See: [How many transactions is Omise processing daily?](https://kb.omgcommunity.org/kb#how-many-transactions-is-omise-currently-processing-daily-8-to-9-figures-is-quite-vague-and-was-from-last-july)	GitBookAMA	
[How will people deposit money into the OMG network?]	See: [How will people deposit money into the OMG network?](https://kb.omgcommunity.org/kb#how-easy-will-it-be-for-non-tech-normal-people-be-able-to-deposit-money-into-the-omg-network)	GitBookAMA	
[How will OMG maintain volume?]	See: [How will OMG maintain volume?](https://kb.omgcommunity.org/kb#could-you-elaborate-on-the-nature-of-your-partnership-mous-with-existing-banks-if-omg-is-as-successful-as-we-all-hope-political-pressure-on-these-banks-to-end-such-partnerships-is-likely-to-increase-over-time-and-it-would-be-nice-to-know-the-risk-associated-with-such-events-how-much-is-omg-relying-on-these-agreements-for-liquidity-transaction-volume-for-example-bank-to-bank-j-coin-transactions-the-facilitation-of-cash-in-out-fiat-transactions-and-or-to-help-with-regulatory-issues)	GitBookAMA	
[What are OMG partnerships?]	See: [What are OMG partnerships?](https://kb.omgcommunity.org/kb#are-there-any-news-on-recent-vendors-or-partnerships-or-businesses)	GitBookAMA	
[Will OmiseGO manage staking pools?]	See: [Will OmiseGO manage staking pools?](https://kb.omgcommunity.org/kb#what-are-the-plans-for-dealing-with-bad-actors-in-staking-pools-and-what-sort-of-actions-would-warrant-negative-response-by-the-network-as-in-how-will-regular-staking-pool-participants-be-affected-by-soft-hard-slashing-if-the-staking-pool-manager-turns-out-to-be-a-bad-actor-i-hope-that-makes-sense-my-technological-understanding-of-staking-pools-is-limited)	GitBookAMA	
[Will OMG Network and Cosmos ZOMG be interoperable?]	See: [Will OMG Network and Cosmos ZOMG be interoperable?](https://kb.omgcommunity.org/kb#will-both-cosmos-and-plasma-work-under-the-same-omg-wallet-and-payment-network-so-i-can-pay-with-a-cosmos-based-token-and-the-counter-party-receives-a-plasma-based-token-or-vice-versa)	GitBookAMA	
[Will OmiseGO use transaction fees for marketing?]	See: [Will OmiseGO use transaction fees for marketing?](https://kb.omgcommunity.org/kb#have-you-considered-using-the-tx-fees-earned-during-the-poa-phase-to-aggressively-market-the-omg-network-across-sea-and-perhaps-other-parts-in-the-world-this-will-possibly-help-increase-awareness-network-usage-token-price-and-general-interest-instead-of-burning-tokens)	GitBookAMA	
[What is expected transaction volume on Cosmos ZOMG DEX?]	See: [What is expected transaction volume on Cosmos ZOMG DEX?](https://kb.omgcommunity.org/kb#what-kind-of-transactions-will-be-done-on-the-honte-cosmos-dex-and-what-will-be-moved-to-the-plasma-dex-what-kind-of-volume-can-we-expect)	GitBookAMA	
[**How will OMG implement fiat gateways into DEX?**]	See: [**How will OMG implement fiat gateways into DEX?**](https://kb.omgcommunity.org/kb#how-does-omisego-plan-on-implementing-fiat-gateways-into-its-dex-are-there-any-regulatory-hurdles-the-team-needs-to-plan-for)	GitBookAMA	
[**Will credit card companies allow fiat deposits into OmiseGo DEX?**]	See: [**Will credit card companies allow fiat deposits into OmiseGo DEX?**](https://kb.omgcommunity.org/kb#what-will-merchants-use-to-deposit-fiat-into-the-dex-cash-credit-card-etc-what-suggests-credit-card-companies-will-allow-fiat-deposits-into-the-omisego-dex)	GitBookAMA	
[**What will prevent merchant fraud on OMG Network?**]	See: [**What will prevent merchant fraud on OMG Network?**](https://kb.omgcommunity.org/kb#whats-to-prevent-using-tokenized-fiat-that-does-not-exist-in-other-words-merchants-changing-their-ledger)	GitBookAMA	
[What is OmiseGO competition strategy?]	See: [What is OmiseGO competition strategy?](https://kb.omgcommunity.org/kb#what-is-your-gameplan-to-beat-the-competition)	GitBookAMA	
[What is purpose of Cosmos ZOMG DEX?]	See: [What is purpose of Cosmos ZOMG DEX?](https://kb.omgcommunity.org/kb#i-understand-that-omg-and-tendermint-have-been-working-together-but-how-does-having-two-dexs-help-in-any-way-will-the-wallet-sdk-connect-to-the-tendermint-dex-as-well-wont-the-tendermint-dex-suck-liquidity-from-the-omg-one-and-vice-versa-_-_my-question-is-what-is-the-advantage-to-anyone-of-duplicating-a-dex-on-tendermint-or-is-it-just-for-the-hell-of-it)	GitBookAMA	
[Will OMG use 0x relayer?]	See: [Will OMG use 0x relayer?](https://kb.omgcommunity.org/kb#smart-0x-based-relayers-dexes-will-share-liquidity-through-either-open-order-books-or-other-means-aequeduct-are-there-any-plans-for-omise-to-tap-into-this-liquidity-somehow)	GitBookAMA	
[What is OmiseGO business development strategy?]	See: [What is OmiseGO business development strategy?](https://kb.omgcommunity.org/kb#can-you-give-us-more-details-surrounding-your-business-development-strategy-for-omg-and-how-you-plan-on-marketing-this-to-consumers)	GitBookAMA	
[Will Tendermint support Cosmos ZOMG DEX?]	See: [Will Tendermint support Cosmos ZOMG DEX?](https://kb.omgcommunity.org/kb#will-tendermint-dex-and-cosmos-dex-be-linked-in-any-way-to-the-cosmomg-dex)	GitBookAMA	
[Will Tesuji Plasma use Plasma Cash?]	See: [Will Tesuji Plasma use Plasma Cash?](https://kb.omgcommunity.org/kb#will-tesuji-plasma-use-plasma-cash-will-plasma-cash-be-finished-in-q-2-whats-the-difference-between-plasma-cash-in-q2-and-tesuji-plasma)	GitBookAMA	
[Will OmiseGO be first to deliver Plasma?]	See: [Will OmiseGO be first to deliver Plasma?](https://kb.omgcommunity.org/kb#will-we-be-the-first-to-deliver-plasma-compared-to-the-other-implementers-and-have-the-first-to-market-advantage)	GitBookAMA	
[Will OMG staking be competitive?]	See: [Will OMG staking be competitive?](https://kb.omgcommunity.org/kb#will-staking-returns-be-competitive-to-other-staking-coins-will-you-guys-make-it-worthwhile)	GitBookAMA	
[What are minimum OMG staking numbers?]	See: [What are minimum OMG staking numbers?](https://kb.omgcommunity.org/kb#on-the-latest-blog-about-staking-this-was-stated-when-there-is-we-will-be-the-first-to-know-and-we-will-share-it-freely-do-we-still-not-know-any-minimum-staking-numbers-or-even-a-range-ideas-or-theories-being-floated)	GitBookAMA	
[What is the relationship between OMG and Neutrino? ]	See: [What is the relationship between OMG and Neutrino? ](https://kb.omgcommunity.org/kb#what-role-does-omisego-have-at-the-neutrino-workspace-and-are-there-any-plans-to-open-one-in-the-usa)	GitBookAMA	
[What will OmiseGO do with its lock up tokens]	See: [What will OmiseGO do with its lock up tokens](https://kb.omgcommunity.org/kb#what-you-plan-to-do-with-your-omg-tokens-in-one-month-the-lockup-period-is-expired)	GitBookAMA	
[Does OmiseGO have plans to disrupt rabbit card and BTS in Bangkok?]	See: [Does OmiseGO have plans to disrupt rabbit card and BTS in Bangkok?](https://kb.omgcommunity.org/kb#hey-champs-i-really-dig-your-beautiful-team-i-love-that-youre-integrating-everyone-guys-and-gals-and-giving-opportunities-to-those-that-deserve-them-question-regarding-omise-technically-post-integration-do-you-have-plans-to-disrupt-the-rabbit-card-and-bts-in-bkk-at-least-1-3-million-trips-per-day-entering-and-then-exiting-1-3m-x-2-identity-data-would-be-great-here-too-remember-that-rabbit-card-is-used-like-a-debit-card-around-sukhumvit-as-well-i-would-love-to-see-this-thanks)	GitBookAMA	
[What does Network of Exchanges mean?]	See: [What does Network of Exchanges mean?](https://kb.omgcommunity.org/kb#youve-mentioned-acquiring-a-network-of-exchanges-for-liquidity-what-does-network-of-exchanges-mean-what-are-its-benefits)	GitBookAMA	
[How will OmiseGO maintain competitive advantage over plasma?]	See: [How will OmiseGO maintain competitive advantage over plasma?](https://kb.omgcommunity.org/kb#once-plasma-comes-online-on-the-ethereum-main-net-and-omg-is-one-of-many-plasma-chains-how-will-omg-retain-its-competitive-advantages-without-financial-institutions-simply-choosing-another-plasma-chain)	GitBookAMA	
[Are slashing conditions in OMG PoS similar to Ethereum?]	See: [Are slashing conditions in OMG PoS similar to Ethereum?](https://kb.omgcommunity.org/kb#are-slashing-conditions-in-omg-pos-likely-to-be-substantially-equivalent-to-ethereum-slashing-conditions-in-his-presentation-at-edcon-vitalik-discussed-a-few-parameters-about-anticipated-casper-slashing-conditions-two-important-items-mentioned-were-the-idea-that-faulty-behavior-includes-being-offline-and-the-fact-that-if-a-larger-staking-pool-happens-to-go-offline-or-byzantine-all-at-the-same-time-this-would-result-in-harsher-slashing-conditions-for-pool-participants-both-as-a-penalty-for-having-a-large-chunk-of-the-network-being-faulty-and-as-a-disincentive-to-centralize-around-individual-pools-does-omg-think-these-slashing-standards-should-be-adopted-and-how-does-that-play-into-the-anticipated-omg-staking-pool)	GitBookAMA	
[How will Plasma MVP and Plasma Cash be implemented?]	See: [How will Plasma MVP and Plasma Cash be implemented?](https://kb.omgcommunity.org/kb#is-the-plan-to-use-both-plasma-mvp-and-plasma-cash-simultaneously-for-their-different-strengths-weaknesses-or-is-the-plan-to-eventually-have-the-entire-omisego-network-implemented-on-a-plasma-cash-design)	GitBookAMA	
[Will BTC be compatible with Cosmos and Plasma?]	See: [Will BTC be compatible with Cosmos and Plasma?](https://kb.omgcommunity.org/kb#will-btc-be-compatible-with-cosmos-and-plasma)	GitBookAMA	
[What is OmiseGo's 'killer app?']	See: [What is OmiseGo's 'killer app?'](https://kb.omgcommunity.org/kb#do-you-remember-how-no-cared-to-buy-into-the-internet-until-everyone-figured-out-how-to-get-free-porn-from-it-okay-fine-email-for-you-puritans-plasma-mvp-plasma-cash-cosmos-spoon-dex-ewallet-sdk-oh-my-my-head-is-spinning-the-internet-has-porn-and-email-without-all-the-techno-blockchain-mumbo-jumbo-what-is-omisegos-killer-app)	GitBookAMA	
[When will OMG merchandise store open?)]	See: [When will OMG merchandise store open?)](https://kb.omgcommunity.org/kb#when-will-we-be-able-to-buy-official-omg-merch)	GitBookAMA	
[How OMG will decide rate of each currency?]	See: [How OMG will decide rate of each currency?](https://kb.omgcommunity.org/kb#the-omg-dex-will-be-currency-agnostic-and-will-make-transactions-between-two-parties-flawless-no-matter-the-currencies-used-by-the-maker-and-the-taker-right-but-how-omg-will-decide-the-quote-and-or-the-rate-of-each-currency-based-on-some-reputable-forex-exchange-or-on-omise-rates-and-quotes-will-omise-omg-dex-do-some-forex-arbitrage-on-forex)	GitBookAMA	
[What type of consensus is needed between plasma validators?)]	See: [What type of consensus is needed between plasma validators?)](https://kb.omgcommunity.org/kb#what-type-of-consensus-between-plasma-validators-needs-to-achieved-simple-of-staking-nodes)	GitBookAMA	
[Is Plasma open source?]	See: [Is Plasma open source?](https://kb.omgcommunity.org/kb#hello-when-plasma-is-done-will-omisego-release-this-for-everyone-for-use-freely-if-so-what-competetive-benefit-do-omisego-get-from-developing-plasma-as-i-understand-electrify-asia-will-run-on-omisego-plasma-and-possibly-with-other-tokens-companies-on-their-chain-again-is-it-any-other-tokens-that-are-planned-to-run-on-omg-plasma)	GitBookAMA	
[Will DAI or tokenized fiat be used more on OMG Network?]	See: [Will DAI or tokenized fiat be used more on OMG Network?](https://kb.omgcommunity.org/kb#who-says-they-should-only-support-only-one-coin-i-like-the-idea-of-dai-coin-but-look-their-volume-mufg-would-be-a-great-patner-also-do-u-think-that-common-people-in-asia-would-rather-use-dai-or-crypto-version-on-yen-yen-is-world-known-and-trusted-and-dai-is-uknown-anyway-as-far-as-i-understood-they-will-support-multiple-currencies)	GitBookAMA	
[How will OMG Network deal with Ethereum issues?]	See: [How will OMG Network deal with Ethereum issues?](https://kb.omgcommunity.org/kb#we-know-omisego-network-is-ethereum-based-system-so-i-am-worried-about-if-ethereum-has-some-trouble-such-as-hard-fork-how-does-the-omg-network-face-and-recover-and-about-plasma-cash-i-heard-when-withdraw-funds-from-child-chain-to-root-chain-people-will-wait-two-weeks-to-exit-if-it-is-true-it-would-reduce-much-liquidity-to-the-dex-market-can-you-tell-us-more-things-about-the-exit-and-challenge-on-plasma)	GitBookAMA	
[How will OMG Network work with fiat?]	See: [How will OMG Network work with fiat?](https://kb.omgcommunity.org/kb#for-omg-to-act-as-a-currency-agnostic-dex-to-enable-you-to-trade-eg-btc-into-usd-non-erc-20-tokens-will-need-to-be-created-that-are-backed-by-and-can-be-exchanged-for-the-real-thing-for-crypto-backed-tokens-like-btc-this-should-be-easy-because-we-can-easily-see-how-many-btcomg-exist-and-how-many-btcreal-sit-on-the-backers-contract-however-how-will-this-work-for-many-fiat-currencies-also-how-to-co-ordinate-and-audit-many-parties-backing-the-same-currency-fiat-and-crypto)	GitBookAMA	
[How do the fees work on a Plasma Cash chain?]	See: [How do the fees work on a Plasma Cash chain?](https://kb.omgcommunity.org/kb#how-do-the-fees-work-on-a-plasma-cash-chain-if-it-is-difficult-to-split-coins-into-small-amounts-and-merge-them-again-how-do-you-plan-to-handle-the-tiny-transactions-fees-on-each-transaction)	GitBookAMA	
[What is priority of user experience for staking?]	See: [What is priority of user experience for staking?](https://kb.omgcommunity.org/kb#first-thank-you-for-doing-this-ama-there-is-a-great-community-behind-your-project-and-this-will-help-reassure-everyone-their-money-is-invested-in-the-right-place-how-big-of-a-priority-is-the-ease-of-token-holders-being-able-to-stake-there-has-been-discussion-of-omg-purchasing-an-exchange-will-stakeholders-be-able-to-stake-directly-through-this-exchange)	GitBookAMA	
[How will OmiseGo handle multiple wallets working together?]	See: [How will OmiseGo handle multiple wallets working together?](https://kb.omgcommunity.org/kb#how-will-omisego-handle-multiple-wallets-working-together-if-i-have-a-wallet-by-company-x-and-my-friend-has-a-wallet-by-company-y-what-addressing-system-should-i-use-to-send-him-the-money-email-or-some-sort-of-unique-id-like-a-phone-number)	GitBookAMA	
[What is current progress?]	See: [What is current progress?](https://kb.omgcommunity.org/kb#can-you-give-a-current-progress-update)	GitBookAMA	
[What will UX/UI be for OMG Network and Cosmos ZOMG DEX?]	See: [What will UX/UI be for OMG Network and Cosmos ZOMG DEX?](https://kb.omgcommunity.org/kb#what-will-looks-like-cosmos-dex-and-plasma-dex-s-ux-ui-will-it-like-binance-and-poloniex-or-shapeshift-and-kyber-network-and-airswap)	GitBookAMA	
[Will Cosmos spoon be supported on Ledger Nano S?]	See: [Will Cosmos spoon be supported on Ledger Nano S?](https://kb.omgcommunity.org/kb#will-fork-support-be-given-to-users-that-hold-their-omg-tokens-on-a-ledger-nano-s-or-are-we-required-to-move-our-tokens-to-a-temporary-address-where-we-have-access-to-our-private-keys)	GitBookAMA	
[Has OMG offered services to MUFG?]	See: [Has OMG offered services to MUFG?](https://kb.omgcommunity.org/kb#mufg-is-building-a-stable-coin-why-dont-u-offer-your-network-service-to-them-in-order-for-person-from-usa-or-europe-to-send-money-to-his-cousin-in-thailand-they-need-to-have-a-stable-coin-i-dont-wanna-send-20usd-of-crypto-to-my-cousin-which-if-he-doesnt-cash-out-immidiately-could-turn-into-10-or-5usd-next-day)	GitBookAMA	
[Will Plasma Cash support EVM-based smart contracts?]	See: [Will Plasma Cash support EVM-based smart contracts?](https://kb.omgcommunity.org/kb#will-plasma-cash-implementation-support-evm-based-smart-contracts-or-is-that-for-a-future-version)	GitBookAMA	
[Are all ERC20 supported on initial OMG Network?]	See: [Are all ERC20 supported on initial OMG Network?](https://kb.omgcommunity.org/kb#why-was-there-a-need-to-specifically-highlight-dai-to-be-tradable-on-day-1-arent-all-erc20-supported-on-day-1)	GitBookAMA	
